,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　魚国総本社 代表取締役　田所　伸浩,,魚国総本社・緑２４７５１２,名古屋市緑区神沢二丁目１２０１番地　,名古屋市緑区神沢２丁目１２０１番地 ,,876-0830,飲食店営業,2022/7/14,4緑保健第1-91号,2022/7/21,2028/7/20,,名古屋市保健所,魚国総本社・緑２４７５１２,052,052-876-0830,,,,名古屋市緑区神沢２丁目１２０１番地 ,愛知県名古屋市緑区神沢２丁目１２０１番地,,117163,愛知県,名古屋市緑区,神沢２,,2022/07/14,,2022/07/21,2028/07/20,株式会社　魚国総本社 ,代表取締役　田所　伸浩,,,,,,,,,4緑保健第1-91号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,魚国総本社・緑２４７５１２,魚国総本社緑２４７５１２,株式会社魚国総本社　,,1,,,,,
松下　真衣,,snack Nyx,名古屋市緑区徳重五丁目９０１番地　１階,名古屋市緑区徳重５丁目９０１番地,１階,,飲食店営業,2022/7/20,4緑保健第1-84号,2022/8/5,2028/11/20,,名古屋市保健所,snack Nyx,052,,,,,名古屋市緑区徳重５丁目９０１番地,愛知県名古屋市緑区徳重５丁目９０１番地,１階,117221,愛知県,名古屋市緑区,徳重５,,2022/07/20,,2022/08/05,2028/11/20,,松下　真衣,,,,,,,,,4緑保健第1-84号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｓｎａｃｋ　Ｎｙｘ,ｓｎａｃｋＮｙｘ,,,1,,,,,
GHIMIRE MILAN PRASAD,,フジヤマ５５　六田店,名古屋市緑区六田二丁目７６番地の１　ユニーブル六田 １階３号室,名古屋市緑区六田２丁目７６番地の１,ユニーブル六田 １階３号室,,飲食店営業,2022/7/22,4緑保健第1-89号,2022/7/31,2029/6/20,,名古屋市保健所,フジヤマ５５　六田店,052,,,,,名古屋市緑区六田２丁目７６番地の１,愛知県名古屋市緑区六田２丁目７６番地ノ１,ユニーブル六田 １階３号室,117149,愛知県,名古屋市緑区,六田２,,2022/07/22,,2022/07/31,2029/06/20,,GHIMIRE MILAN PRASAD,,,,,,,,,4緑保健第1-89号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,フジヤマ５５　六田店,フジヤマ５５六田店,,,1,,,,,
新美　明彦,,新豚,名古屋市名東区藤森一丁目２４８番地　第３太田コーポ１Ｆ,名古屋市名東区藤森１丁目２４８番地, 第３太田コーポ１Ｆ,773-9188,飲食店営業,2022/7/5,4名保健第1-90号,2022/7/21,2028/7/20,,名古屋市保健所,新豚,052,052-773-9188,,,,名古屋市名東区藤森１丁目２４８番地,愛知県名古屋市名東区藤森１丁目２４８番地, 第３太田コーポ１Ｆ,117400,愛知県,名古屋市名東区,藤森１,,2022/07/05,,2022/07/21,2028/07/20,,新美　明彦,,,,,,,,,4名保健第1-90号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,新豚,新豚,,,1,,,,,
畠中 博之,,サムタイム,名古屋市名東区一社二丁目１０７番地　シャリオン一社３０１,名古屋市名東区一社２丁目１０７番地,シャリオン一社３０１,,飲食店営業,2022/7/5,4名保健第1-83号,2022/7/5,2029/2/20,,名古屋市保健所,サムタイム,052,,,,,名古屋市名東区一社２丁目１０７番地,愛知県名古屋市名東区一社２丁目１０７番地,シャリオン一社３０１,117333,愛知県,名古屋市名東区,一社２,,2022/07/05,,2022/07/05,2029/02/20,,畠中 博之,,,,,,,,,4名保健第1-83号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サムタイム,サムタイム,,,2,,,,,
畠中 博之,,サムタイム,名古屋市名東区一社二丁目１０７番地　シャリオン一社３０１,名古屋市名東区一社２丁目１０７番地,シャリオン一社３０１,,菓子製造業,2022/7/5,4名保健第1-84号,2022/7/5,2029/2/20,,名古屋市保健所,サムタイム,052,,,,,名古屋市名東区一社２丁目１０７番地,愛知県名古屋市名東区一社２丁目１０７番地,シャリオン一社３０１,117333,愛知県,名古屋市名東区,一社２,,2022/07/05,,2022/07/05,2029/02/20,,畠中 博之,,,,,,,,,4名保健第1-84号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,サムタイム,サムタイム,,,2,,,,,
有限会社　丸喜屋 代表取締役　藤村和優,769-4769,ファミリーマート　本郷名古屋,名古屋市名東区本郷二丁目１６４番地１　,名古屋市名東区本郷２丁目１６４番地１,,769-4769,飲食店営業,2022/7/7,4名保健第1-96号,2022/7/21,2028/7/20,,名古屋市保健所,ファミリーマート　本郷名古屋,052,052-769-4769,,,,名古屋市名東区本郷２丁目１６４番地１,愛知県名古屋市名東区本郷２丁目１６４番地１,,117408,愛知県,名古屋市名東区,本郷２,,2022/07/07,,2022/07/21,2028/07/20,有限会社　丸喜屋 ,代表取締役　藤村和優,-769-4769,,,,,,,,4名保健第1-96号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート　本郷名古屋,ファミリマト本郷名古屋,有限会社丸喜屋　,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
坂場　弘恵,,ひっちゃんの寄り道中華房,名古屋市名東区西山本通２丁目１６番地　,名古屋市名東区西山本通２丁目１６番地 ,,,そうざい製造業,2022/7/7,4名保健第1-98号,2022/7/7,2028/12/20,,名古屋市保健所,ひっちゃんの寄り道中華房,052,,,,,名古屋市名東区西山本通２丁目１６番地 ,愛知県名古屋市名東区西山本通２丁目１６番地,,117382,愛知県,名古屋市名東区,西山本通２,,2022/07/07,,2022/07/07,2028/12/20,,坂場　弘恵,,,,,,,,,4名保健第1-98号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ひっちゃんの寄り道中華房,ひっちゃんの寄り道中華房,,,1,,,,,
神野 里奈,,スナックじゅらい,名古屋市名東区藤見が丘３６番地　コーポ名東１０６,名古屋市名東区藤見が丘３６番地, コーポ名東１０６,774-3999,飲食店営業,2022/7/15,4名保健第1-45号,2022/8/1,2028/11/20,,名古屋市保健所,スナックじゅらい,052,052-774-3999,,,,名古屋市名東区藤見が丘３６番地,愛知県名古屋市名東区藤見が丘３６番地, コーポ名東１０６,117399,愛知県,名古屋市名東区,藤見が丘,,2022/07/15,,2022/08/01,2028/11/20,,神野 里奈,,,,,,,,,4名保健第1-45号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナックじゅらい,スナックじゅらい,,,1,,,,,
石原　紀根子,,喫茶　いしはら,名古屋市名東区上社四丁目１７４番地２　,名古屋市名東区上社４丁目１７４番地２,,702-0985,飲食店営業,2022/7/15,4名保健第1-101号,2022/7/21,2028/7/20,,名古屋市保健所,喫茶　いしはら,052,052-702-0985,,,,名古屋市名東区上社４丁目１７４番地２,愛知県名古屋市名東区上社４丁目１７４番地２,,117353,愛知県,名古屋市名東区,上社４,,2022/07/15,,2022/07/21,2028/07/20,,石原　紀根子,,,,,,,,,4名保健第1-101号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,喫茶　いしはら,喫茶いしはら,,,1,,,,,
原　京子,,ｇａｔｅｒｉｅ　ガトリ,名古屋市名東区上社二丁目１９５番地　フェアモント２１　１階,名古屋市名東区上社２丁目１９５番地,フェアモント２１ １階,739-6277,菓子製造業,2022/7/19,4名保健第1-97号,2022/7/21,2028/7/20,,名古屋市保健所,ｇａｔｅｒｉｅ　ガトリ,052,052-739-6277,,,,名古屋市名東区上社２丁目１９５番地,愛知県名古屋市名東区上社２丁目１９５番地,フェアモント２１ １階,117351,愛知県,名古屋市名東区,上社２,,2022/07/19,,2022/07/21,2028/07/20,,原　京子,,,,,,,,,4名保健第1-97号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ｇａｔｅｒｉｅ　ガトリ,ｇａｔｅｒｉｅガトリ,,,1,,,,,
株式会社　ファミリーマート 代表取締役　細見　研介,03-6436-7600,ファミリーマート　名東牧の里二丁目店,名古屋市名東区牧の里二丁目７０１番地　,名古屋市名東区牧の里２丁目７０１番地 ,,709-2633,飲食店営業,2022/7/19,4名保健第1-89号,2022/8/1,2029/5/20,,名古屋市保健所,ファミリーマート　名東牧の里二丁目店,052,052-709-2633,,,,名古屋市名東区牧の里２丁目７０１番地 ,愛知県名古屋市名東区牧ノ里２丁目７０１番地,,117447,愛知県,名古屋市名東区,牧の里２,,2022/07/19,,2022/08/01,2029/05/20,株式会社　ファミリーマート ,代表取締役　細見　研介,03-6436-7600,,,,,,,,4名保健第1-89号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート　名東牧の里二丁目店,ファミリマト名東牧の里二丁目店,株式会社ファミリーマート　,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
山城　真一,,丸野焼肉,名古屋市名東区勢子坊一丁目２０３番地　,名古屋市名東区勢子坊１丁目２０３番地 ,,734-2929,飲食店営業,2022/7/19,4名保健第1-105号,2022/7/19,2028/9/20,,名古屋市保健所,丸野焼肉,052,052-734-2929,,,,名古屋市名東区勢子坊１丁目２０３番地 ,愛知県名古屋市名東区勢子坊１丁目２０３番地,,117452,愛知県,名古屋市名東区,勢子坊１,,2022/07/19,,2022/07/19,2028/09/20,,山城　真一,,,,,,,,,4名保健第1-105号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,丸野焼肉,丸野焼肉,,,1,,,,,
合同会社　美濃熊 代表社員　熊谷 美由紀,,Ki-iro,名古屋市名東区上社二丁目６８番地　オリンピア７５　１Ｆ,名古屋市名東区上社２丁目６８番地,オリンピア７５ １Ｆ,799-9090,飲食店営業,2022/7/20,4名保健第1-104号,2022/7/20,2028/7/20,,名古屋市保健所,Ki-iro,052,052-799-9090,,,,名古屋市名東区上社２丁目６８番地,愛知県名古屋市名東区上社２丁目６８番地,オリンピア７５ １Ｆ,117351,愛知県,名古屋市名東区,上社２,,2022/07/20,,2022/07/20,2028/07/20,合同会社　美濃熊 ,代表社員　熊谷 美由紀,,,,,,,,,4名保健第1-104号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋｉ－ｉｒｏ,Ｋｉｉｒｏ,合同会社美濃熊　,,1,,,,,
中山　恵,,華,名古屋市名東区上社一丁目７０３番地　明和ビル1階１０１号室,名古屋市名東区上社１丁目７０３番地,明和ビル１階１０１号室,,飲食店営業,2022/7/20,4名保健第1-100号,2022/7/21,2028/7/20,,名古屋市保健所,華,052,,,,,名古屋市名東区上社１丁目７０３番地,愛知県名古屋市名東区上社１丁目７０３番地,明和ビル１階１０１号室,117350,愛知県,名古屋市名東区,上社１,,2022/07/20,,2022/07/21,2028/07/20,,中山　恵,,,,,,,,,4名保健第1-100号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,華,華,,,1,,,,,
株式会社　山一商事 代表取締役　山本　浩,721-7770,食品工場及びEC事業事業所,名古屋市名東区勢子坊一丁目１０５番地　,名古屋市名東区勢子坊１丁目１０５番地 ,,,食肉処理業,2022/7/29,4名保健第1-112号,2022/7/29,2029/9/20,,名古屋市保健所,食品工場及びEC事業事業所,052,,,,,名古屋市名東区勢子坊１丁目１０５番地 ,愛知県名古屋市名東区勢子坊１丁目１０５番地,,117452,愛知県,名古屋市名東区,勢子坊１,,2022/07/29,,2022/07/29,2029/09/20,株式会社　山一商事 ,代表取締役　山本　浩,-721-7770,,,,,,,,4名保健第1-112号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,食品工場及びＥＣ事業事業所,食品工場及びＥＣ事業事業所,株式会社山一商事　,,2,,,,,
株式会社　山一商事 代表取締役　山本　浩,721-7770,食品工場及びEC事業事業所,名古屋市名東区勢子坊一丁目１０５番地　,名古屋市名東区勢子坊１丁目１０５番地 ,,,そうざい製造業,2022/7/29,4名保健第1-111号,2022/7/29,2029/9/20,,名古屋市保健所,食品工場及びEC事業事業所,052,,,,,名古屋市名東区勢子坊１丁目１０５番地 ,愛知県名古屋市名東区勢子坊１丁目１０５番地,,117452,愛知県,名古屋市名東区,勢子坊１,,2022/07/29,,2022/07/29,2029/09/20,株式会社　山一商事 ,代表取締役　山本　浩,-721-7770,,,,,,,,4名保健第1-111号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,食品工場及びＥＣ事業事業所,食品工場及びＥＣ事業事業所,株式会社山一商事　,,2,,,,,
塚本　よし子,,ＫＥＮＤＡＩ　ＣＯＭＰＡＮＹ,名古屋市天白区菅田二丁目７０１番地　ロイヤルプレジオ菅田,名古屋市天白区菅田２丁目７０１番地,ロイヤルプレジオ菅田,052-808-4575,そうざい製造業,2022/7/1,4天保健第1-52号,2022/7/1,2028/8/20,,名古屋市保健所,ＫＥＮＤＡＩ　ＣＯＭＰＡＮＹ,052,052-808-4575,,,,名古屋市天白区菅田２丁目７０１番地,愛知県名古屋市天白区菅田２丁目７０１番地,ロイヤルプレジオ菅田,117620,愛知県,名古屋市天白区,菅田２,,2022/07/01,,2022/07/01,2028/08/20,,塚本　よし子,,,,,,,,,4天保健第1-52号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＫＥＮＤＡＩ　ＣＯＭＰＡＮＹ,ＫＥＮＤＡＩＣＯＭＰＡＮＹ,,,1,,,,,
﨑山　絵美,,居酒屋　珍々亭,名古屋市天白区池場一丁目４１２番地　,名古屋市天白区池場１丁目４１２番地 ,,,飲食店営業,2022/7/4,4天保健第1-20号,2022/8/5,2029/3/20,,名古屋市保健所,居酒屋　珍々亭,052,,,,,名古屋市天白区池場１丁目４１２番地 ,愛知県名古屋市天白区池場１丁目４１２番地,,117571,愛知県,名古屋市天白区,池場１,,2022/07/04,,2022/08/05,2029/03/20,,﨑山　絵美,,,,,,,,,4天保健第1-20号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋　珍々亭,居酒屋珍亭,,,1,,,,,
